,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[-36.0],[-36.0],[-36.0],[-36.0],[-38.0],[-38.0],[-38.0],[-38.0],[-38.0],[-38.0],[-38.0],[-38.0],[-38.0],[-1000.0],[-1000.0],[-1000.0],[-1000.0],[-1000.0],[-1000.0],[-1000.0]
1,[-42.0],[-42.0],[-42.0],[-42.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-36.0],[-1000.0],[-1000.0],[-36.0],[-1000.0],[-1000.0],[-1000.0]
2,[-39.0],[-39.0],[-39.0],[-39.0],[-37.0],[-37.0],[-37.0],[-37.0],[-37.0],[-37.0],[-37.0],[-37.0],[-37.0],[-518.0],[-1000.0],[-1000.0],[-518.0],[-1000.0],[-1000.0],[-1000.0]
