,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-14.0, -12.0, -12.0, -21.0, -27.0, -12.0, -14.0, -13.0, -12.0]","[-12.0, -12.0, -13.0, -12.0, -12.0, -12.0, -12.0, -15.0, -13.0]","[-19.0, -14.0, -14.0, -12.0, -18.0, -17.0, -12.0, -12.0, -13.0, -13.0]","[-12.0, -13.0, -14.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0]","[-13.0, -13.0, -13.0, -12.0, -12.0, -15.0, -16.0, -12.0, -13.0, -13.0]","[-13.0, -13.0, -12.0, -12.0, -12.0, -13.0, -12.0, -13.0]","[-13.0, -13.0, -13.0, -15.0, -12.0, -17.0, -12.0, -21.0, -13.0]","[-13.0, -13.0, -15.0, -12.0, -13.0, -13.0, -15.0, -13.0, -12.0]","[-13.0, -15.0, -16.0, -12.0, -19.0, -12.0, -13.0, -13.0, -19.0]","[-16.0, -13.0, -13.0, -16.0, -23.0, -13.0, -13.0, -16.0, -13.0]","[-13.0, -15.0, -13.0, -16.0, -13.0, -13.0, -13.0, -12.0, -13.0, -15.0]","[-20.0, -16.0, -13.0, -16.0, -13.0, -12.0, -15.0, -12.0, -15.0, -16.0]","[-18.0, -15.0, -19.0, -16.0, -13.0, -15.0, -17.0, -13.0, -13.0, -13.0]","[-16.0, -13.0, -13.0, -18.0, -13.0, -13.0, -18.0, -15.0, -16.0, -16.0]","[-19.0, -13.0, -13.0, -16.0, -13.0, -20.0, -13.0, -13.0, -13.0, -20.0]","[-13.0, -15.0, -16.0, -16.0, -13.0, -15.0, -13.0, -15.0, -16.0]","[-13.0, -16.0, -16.0, -16.0, -13.0, -16.0, -16.0, -22.0, -16.0]","[-16.0, -16.0, -13.0, -16.0, -16.0, -16.0, -16.0, -13.0, -16.0]","[-18.0, -16.0, -13.0, -16.0, -16.0, -18.0, -16.0, -18.0]","[-19.0, -13.0, -16.0, -26.0, -13.0, -13.0, -16.0, -16.0, -16.0]"
1,"[-18.0, -19.0, -20.0, -16.0, -16.0, -16.0, -16.0, -15.0, -16.0]","[-18.0, -19.0, -14.0, -16.0, -18.0, -16.0, -14.0, -14.0, -17.0]","[-14.0, -19.0, -22.0, -16.0, -16.0, -14.0, -16.0, -14.0, -16.0]","[-18.0, -15.0, -14.0, -17.0, -16.0, -19.0, -16.0, -18.0, -14.0, -17.0]","[-14.0, -15.0, -14.0, -16.0, -16.0, -16.0, -16.0, -14.0, -23.0]","[-14.0, -15.0, -14.0, -16.0, -16.0, -16.0, -14.0, -16.0, -18.0]","[-14.0, -15.0, -14.0, -16.0, -14.0, -16.0, -26.0, -16.0, -16.0]","[-14.0, -17.0, -14.0, -16.0, -14.0, -14.0, -14.0, -14.0, -16.0]","[-14.0, -15.0, -12.0, -16.0, -15.0, -16.0, -12.0, -14.0, -18.0]","[-14.0, -15.0, -14.0, -12.0, -14.0, -14.0, -14.0, -20.0, -14.0, -22.0]","[-14.0, -15.0, -14.0, -12.0, -14.0, -14.0, -14.0, -16.0, -16.0]","[-12.0, -17.0, -14.0, -12.0, -14.0, -16.0, -14.0, -14.0, -13.0]","[-12.0, -15.0, -14.0, -12.0, -16.0, -17.0, -24.0, -20.0, -14.0, -17.0]","[-12.0, -15.0, -14.0, -12.0, -14.0, -16.0, -13.0, -14.0, -13.0]","[-12.0, -15.0, -14.0, -12.0, -14.0, -14.0, -16.0, -14.0, -13.0]","[-14.0, -15.0, -12.0, -12.0, -12.0, -14.0, -14.0, -14.0, -15.0]","[-14.0, -13.0, -12.0, -12.0, -12.0, -16.0, -12.0, -14.0, -12.0, -15.0]","[-12.0, -13.0, -14.0, -12.0, -12.0, -14.0, -12.0, -16.0, -15.0]","[-12.0, -13.0, -12.0, -12.0, -14.0, -12.0, -12.0, -16.0, -12.0, -19.0]","[-14.0, -15.0, -12.0, -12.0, -14.0, -16.0, -14.0, -12.0, -13.0]"
2,"[-16.0, -15.5, -16.0, -18.5, -21.5, -14.0, -14.0, -14.0]","[-15.0, -15.5, -13.5, -14.0, -15.0, -14.0, -14.5, -15.0]","[-16.5, -16.5, -18.0, -14.0, -17.0, -15.5, -14.0, -13.5, -14.5]","[-15.0, -14.0, -14.0, -14.5, -14.0, -15.5, -14.0, -15.5, -13.5, -18.5]","[-13.5, -14.0, -13.5, -14.0, -14.0, -15.5, -16.0, -13.5, -18.0]","[-44.0, -14.0, -13.5, -14.0, -14.0, -14.0, -14.0, -15.5]","[-13.5, -13.5, -14.5, -14.5, -14.0, -21.5, -18.5, -14.5]","[-13.5, -15.0, -14.5, -14.0, -13.5, -13.5, -14.5, -14.0]","[-13.5, -15.0, -14.0, -14.0, -17.0, -14.0, -23.5, -13.5, -18.5]","[-15.0, -14.0, -13.5, -14.0, -18.5, -22.5, -13.5, -16.5, -15.0, -17.5]","[-13.5, -15.0, -13.5, -14.0, -13.5, -13.5, -13.5, -14.5, -15.5]","[-16.0, -16.5, -13.5, -14.0, -13.5, -14.0, -14.5, -14.5, -14.5]","[-15.0, -15.0, -16.5, -14.0, -14.5, -16.0, -20.5, -16.5, -13.5, -15.0]","[-14.0, -14.0, -13.5, -15.0, -13.5, -14.5, -15.5, -15.0, -14.5]","[-15.5, -14.0, -13.5, -14.0, -13.5, -17.0, -14.5, -13.5, -16.5]","[-13.5, -15.0, -14.0, -14.0, -13.5, -14.5, -14.5, -15.5]","[-13.5, -14.0, -14.0, -14.0, -14.5, -14.0, -15.0, -17.0, -15.5]","[-14.0, -14.5, -13.5, -14.0, -14.0, -15.0, -14.0, -15.5]","[-15.0, -14.0, -13.5, -14.0, -14.0, -17.0, -14.0, -18.5]","[-16.5, -14.0, -14.0, -19.0, -13.5, -13.5, -23.0, -14.0, -14.5]"
