,0,1,2,3,4
0,"[-13.0, -12.0, -12.0, -13.0, -14.0, -12.0, -12.0, -12.0, -19.0, -12.0]","[-15.0, -12.0, -13.0, -12.0, -12.0, -14.0, -12.0, -12.0, -13.0, -12.0]","[-13.0, -15.0, -24.0, -13.0, -12.0, -13.0, -13.0, -12.0, -12.0, -13.0]","[-12.0, -17.0, -13.0, -12.0, -13.0, -12.0, -12.0, -94.0, -12.0, -13.0]","[-13.0, -13.0, -14.0, -12.0, -12.0, -12.0, -13.0, -99.0, -12.0, -12.0]"
1,"[-19.0, -21.0, -18.0, -14.0, -14.0, -16.0, -18.0, -16.0, -15.0, -18.0]","[-19.0, -17.0, -14.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -16.0]","[-23.0, -15.0, -14.0, -14.0, -18.0, -533.0, -16.0, -16.0, -17.0, -16.0]","[-21.0, -15.0, -16.0, -16.0, -14.0, -16.0, -18.0, -14.0, -17.0, -16.0]","[-19.0, -15.0, -16.0, -16.0, -16.0, -16.0, -16.0, -14.0, -17.0, -19.0]"
2,"[-32.0, -33.0, -30.0, -27.0, -28.0, -28.0, -30.0, -28.0, -34.0, -30.0]","[-34.0, -29.0, -27.0, -28.0, -28.0, -30.0, -28.0, -28.0, -30.0, -28.0]","[-36.0, -30.0, -38.0, -27.0, -30.0, -546.0, -29.0, -28.0, -29.0, -29.0]","[-33.0, -32.0, -29.0, -28.0, -27.0, -28.0, -30.0, -108.0, -29.0, -29.0]","[-32.0, -28.0, -30.0, -28.0, -28.0, -28.0, -29.0, -113.0, -29.0, -31.0]"
