,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-52.0, -52.0, -52.0, -68.0]","[-55.0, -55.0, -55.0, -71.0]","[-55.0, -55.0, -55.0, -71.0]","[-55.0, -55.0, -55.0, -71.0]","[-55.0, -55.0, -55.0, -71.0]","[-55.0, -55.0, -55.0, -71.0]","[-55.0, -55.0, -55.0, -71.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -78.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-76.0, -76.0, -76.0, -92.0]","[-77.0, -77.0, -77.0, -93.0]","[-76.0, -76.0, -76.0, -92.0]","[-77.0, -83.0, -77.0, -93.0]"
1,"[-68.0, -68.0, -68.0, -68.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]","[-52.0, -52.0, -52.0, -52.0]"
2,"[-50.0, -50.0, -50.0, -50.0]","[-34.0, -34.0, -34.0, -34.0]","[-34.0, -34.0, -34.0, -34.0]","[-34.0, -34.0, -34.0, -34.0]","[-34.0, -34.0, -34.0, -34.0]","[-34.0, -34.0, -34.0, -34.0]","[-34.0, -34.0, -34.0, -34.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]"
3,"[-52.0, -52.0, -52.0, -68.0, -68.0, -68.0, -68.0, -68.0, -50.0, -50.0, -50.0, -50.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-55.0, -55.0, -55.0, -71.0, -52.0, -52.0, -52.0, -52.0, -34.0, -34.0, -34.0, -34.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -78.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-77.0, -77.0, -77.0, -93.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-76.0, -76.0, -76.0, -92.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]","[-77.0, -83.0, -77.0, -93.0, -52.0, -52.0, -52.0, -52.0, -48.0, -48.0, -48.0, -48.0]"
