,0,1,2,3,4
0,"[-16.0, -16.0, -78.0, -18.0, -24.0, -20.0, -23.0, -34.0, -102.0, -16.0]","[-22.0, -14.0, -16.0, -22.0, -48.0, -15.0, -19.0, -20.0, -17.0, -14.0]","[-69.0, -95.0, -18.0, -33.0, -14.0, -16.0, -16.0, -23.0, -46.0, -178.0]","[-27.0, -35.0, -18.0, -14.0, -12.0, -62.0, -141.0, -147.0, -18.0, -100.0]","[-17.0, -17.0, -60.0, -20.0, -14.0, -60.0, -18.0, -31.0, -12.0, -15.0]"
1,"[-36.0, -54.0, -150.0, -24.0, -20.0, -249.0, -54.0, -96.0, -47.0, -26.0]","[-24.0, -26.0, -30.0, -26.0, -260.0, -15.0, -21.0, -44.0, -90.0, -26.0]","[-26.0, -15.0, -47.0, -18.0, -225.0, -340.0, -31.0, -33.0, -65.0, -24.0]","[-26.0, -47.0, -54.0, -21.0, -75.0, -37.0, -24.0, -35.0, -104.0, -18.0]","[-26.0, -30.0, -70.0, -21.0, -81.0, -163.0, -24.0, -29.0, -31.0, -20.0]"
2,"[-52.0, -70.0, -228.0, -42.0, -44.0, -269.0, -77.0, -130.0, -149.0, -42.0]","[-46.0, -40.0, -46.0, -48.0, -308.0, -30.0, -40.0, -64.0, -107.0, -40.0]","[-95.0, -110.0, -65.0, -51.0, -239.0, -356.0, -47.0, -56.0, -111.0, -202.0]","[-53.0, -82.0, -72.0, -35.0, -87.0, -99.0, -165.0, -182.0, -122.0, -118.0]","[-43.0, -47.0, -130.0, -41.0, -95.0, -223.0, -42.0, -60.0, -43.0, -35.0]"
