,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-13.0, -13.0, -12.0, -13.0, -12.0]","[-13.0, -12.0, -13.0, -12.0, -24.0]","[-12.0, -13.0, -12.0, -153.0, -14.0]","[-13.0, -13.0, -13.0, -91.0, -12.0]","[-13.0, -12.0, -12.0, -13.0, -13.0]","[-15.0, -12.0, -13.0, -13.0, -13.0]","[-12.0, -13.0, -37.0, -13.0, -12.0]","[-13.0, -13.0, -13.0, -28.0, -16.0]","[-13.0, -13.0, -13.0, -16.0, -14.0]","[-13.0, -13.0, -15.0, -18.0, -13.0]","[-13.0, -13.0, -16.0, -18.0, -16.0]","[-13.0, -13.0, -15.0, -797.0, -13.0]","[-19.0, -16.0, -15.0, -13.0, -12.0]","[-13.0, -13.0, -13.0, -18.0, -13.0]","[-13.0, -25.0, -16.0, -27.0, -18.0]","[-16.0, -18.0, -13.0, -16.0, -16.0]","[-13.0, -13.0, -16.0, -20.0, -16.0]","[-16.0, -13.0, -16.0, -16.0, -18.0]","[-16.0, -14.0, -13.0, -16.0, -16.0]","[-13.0, -17.0, -18.0, -13.0, -22.0]"
1,"[-14.0, -14.0, -16.0, -131.0, -16.0]","[-14.0, -20.0, -14.0, -17.0, -16.0]","[-18.0, -14.0, -16.0, -17.0, -16.0]","[-14.0, -16.0, -100.0, -17.0, -16.0]","[-14.0, -16.0, -16.0, -181.0, -14.0]","[-16.0, -16.0, -14.0, -135.0, -14.0]","[-18.0, -14.0, -190.0, -17.0, -16.0]","[-14.0, -14.0, -210.0, -155.0, -12.0]","[-14.0, -16.0, -50.0, -15.0, -16.0]","[-14.0, -14.0, -18.0, -13.0, -14.0]","[-14.0, -14.0, -176.0, -13.0, -12.0]","[-14.0, -14.0, -14.0, -17.0, -14.0]","[-14.0, -12.0, -24.0, -225.0, -16.0]","[-14.0, -14.0, -14.0, -13.0, -14.0]","[-14.0, -14.0, -388.0, -189.0, -12.0]","[-12.0, -12.0, -168.0, -15.0, -12.0]","[-14.0, -14.0, -120.0, -13.0, -12.0]","[-12.0, -14.0, -28.0, -13.0, -12.0]","[-12.0, -14.0, -120.0, -13.0, -12.0]","[-15.0, -14.0, -30.0, -401.0, -12.0]"
2,"[-13.5, -13.5, -14.0, -72.0, -14.0]","[-13.5, -16.0, -13.5, -14.5, -20.0]","[-15.0, -13.5, -14.0, -85.0, -15.0]","[-13.5, -14.5, -56.5, -54.0, -14.0]","[-13.5, -14.0, -14.0, -97.0, -13.5]","[-15.5, -14.0, -13.5, -74.0, -13.5]","[-15.0, -13.5, -113.5, -15.0, -14.0]","[-13.5, -13.5, -111.5, -91.5, -14.0]","[-13.5, -14.5, -31.5, -15.5, -15.0]","[-13.5, -13.5, -16.5, -15.5, -13.5]","[-13.5, -13.5, -96.0, -15.5, -14.0]","[-13.5, -13.5, -14.5, -407.0, -13.5]","[-16.5, -14.0, -19.5, -119.0, -14.0]","[-13.5, -13.5, -13.5, -15.5, -13.5]","[-13.5, -19.5, -202.0, -108.0, -15.0]","[-14.0, -15.0, -90.5, -15.5, -14.0]","[-13.5, -13.5, -68.0, -16.5, -14.0]","[-14.0, -13.5, -22.0, -14.5, -15.0]","[-14.0, -14.0, -66.5, -14.5, -14.0]","[-14.0, -15.5, -24.0, -207.0, -17.0]"
