,0,1,2,3,4
0,[-16.0],[-22.0],[-69.0],[-27.0],[-17.0]
1,[-36.0],[-24.0],[-26.0],[-26.0],[-26.0]
2,[-52.0],[-46.0],[-95.0],[-53.0],[-43.0]
