,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]","[-68.0, -68.0, -68.0, -68.0]"
1,"[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]","[-46.0, -46.0, -46.0, -46.0]"
2,"[-28.0, -28.0, -28.0, -28.0]","[-28.0, -28.0, -28.0, -28.0]","[-28.0, -28.0, -28.0, -28.0]","[-28.0, -28.0, -28.0, -28.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]","[-48.0, -48.0, -48.0, -48.0]"
3,"[-46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -28.0, -28.0, -28.0, -28.0]","[-46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -28.0, -28.0, -28.0, -28.0]","[-46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -28.0, -28.0, -28.0, -28.0]","[-46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -28.0, -28.0, -28.0, -28.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]","[-68.0, -68.0, -68.0, -68.0, -46.0, -46.0, -46.0, -46.0, -48.0, -48.0, -48.0, -48.0]"
