,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-14.0, -12.0, -12.0, -21.0, -27.0, -12.0, -257.0, -14.0, -13.0, -12.0]","[-12.0, -12.0, -13.0, -12.0, -12.0, -12.0, -605.0, -12.0, -15.0, -13.0]","[-19.0, -14.0, -14.0, -12.0, -18.0, -17.0, -12.0, -12.0, -13.0, -13.0]","[-12.0, -13.0, -14.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -20.0]","[-13.0, -13.0, -13.0, -12.0, -12.0, -15.0, -16.0, -12.0, -13.0, -13.0]","[-74.0, -13.0, -13.0, -12.0, -12.0, -12.0, -283.0, -13.0, -12.0, -13.0]","[-13.0, -139.0, -13.0, -13.0, -15.0, -12.0, -17.0, -12.0, -21.0, -13.0]","[-13.0, -13.0, -15.0, -12.0, -13.0, -13.0, -15.0, -13.0, -133.0, -12.0]","[-13.0, -15.0, -16.0, -12.0, -19.0, -12.0, -428.0, -13.0, -13.0, -19.0]","[-16.0, -13.0, -13.0, -16.0, -23.0, -31.0, -13.0, -13.0, -16.0, -13.0]","[-13.0, -15.0, -13.0, -16.0, -13.0, -13.0, -13.0, -12.0, -13.0, -15.0]","[-20.0, -16.0, -13.0, -16.0, -13.0, -12.0, -15.0, -12.0, -15.0, -16.0]","[-18.0, -15.0, -19.0, -16.0, -13.0, -15.0, -17.0, -13.0, -13.0, -13.0]","[-16.0, -13.0, -13.0, -18.0, -13.0, -13.0, -18.0, -15.0, -16.0, -16.0]","[-19.0, -13.0, -13.0, -16.0, -13.0, -20.0, -13.0, -13.0, -13.0, -20.0]","[-13.0, -15.0, -16.0, -16.0, -173.0, -13.0, -15.0, -13.0, -15.0, -16.0]","[-13.0, -478.0, -16.0, -16.0, -16.0, -13.0, -16.0, -16.0, -22.0, -16.0]","[-16.0, -16.0, -13.0, -16.0, -16.0, -16.0, -16.0, -13.0, -382.0, -16.0]","[-18.0, -417.0, -16.0, -169.0, -13.0, -16.0, -16.0, -18.0, -16.0, -18.0]","[-19.0, -13.0, -16.0, -26.0, -13.0, -159.0, -13.0, -16.0, -16.0, -16.0]"
1,"[-18.0, -19.0, -20.0, -16.0, -16.0, -16.0, -16.0, -898.0, -15.0, -16.0]","[-18.0, -19.0, -14.0, -16.0, -18.0, -16.0, -14.0, -822.0, -14.0, -17.0]","[-14.0, -19.0, -22.0, -16.0, -16.0, -14.0, -16.0, -77.0, -14.0, -16.0]","[-18.0, -15.0, -14.0, -17.0, -16.0, -19.0, -16.0, -18.0, -14.0, -17.0]","[-14.0, -15.0, -14.0, -16.0, -16.0, -16.0, -16.0, -660.0, -14.0, -23.0]","[-14.0, -15.0, -14.0, -16.0, -16.0, -16.0, -14.0, -96.0, -16.0, -18.0]","[-14.0, -15.0, -14.0, -16.0, -14.0, -16.0, -26.0, -541.0, -16.0, -16.0]","[-14.0, -17.0, -14.0, -16.0, -14.0, -14.0, -14.0, -378.0, -14.0, -16.0]","[-14.0, -15.0, -12.0, -16.0, -15.0, -16.0, -12.0, -34.0, -14.0, -18.0]","[-14.0, -15.0, -14.0, -12.0, -14.0, -14.0, -14.0, -20.0, -14.0, -22.0]","[-14.0, -15.0, -14.0, -12.0, -14.0, -14.0, -14.0, -271.0, -16.0, -16.0]","[-12.0, -17.0, -14.0, -12.0, -14.0, -16.0, -14.0, -127.0, -14.0, -13.0]","[-12.0, -15.0, -14.0, -12.0, -16.0, -17.0, -24.0, -20.0, -14.0, -17.0]","[-12.0, -15.0, -14.0, -12.0, -14.0, -16.0, -13.0, -964.0, -14.0, -13.0]","[-12.0, -15.0, -14.0, -12.0, -14.0, -14.0, -16.0, -921.0, -14.0, -13.0]","[-14.0, -15.0, -12.0, -12.0, -12.0, -14.0, -14.0, -718.0, -14.0, -15.0]","[-14.0, -13.0, -12.0, -12.0, -12.0, -16.0, -12.0, -14.0, -12.0, -15.0]","[-12.0, -13.0, -14.0, -12.0, -12.0, -14.0, -12.0, -682.0, -16.0, -15.0]","[-12.0, -13.0, -12.0, -12.0, -14.0, -12.0, -12.0, -16.0, -12.0, -19.0]","[-14.0, -15.0, -12.0, -12.0, -14.0, -16.0, -14.0, -30.0, -12.0, -13.0]"
2,"[-16.0, -15.5, -16.0, -18.5, -21.5, -14.0, -136.5, -456.0, -14.0, -14.0]","[-15.0, -15.5, -13.5, -14.0, -15.0, -14.0, -309.5, -417.0, -14.5, -15.0]","[-16.5, -16.5, -18.0, -14.0, -17.0, -15.5, -14.0, -44.5, -13.5, -14.5]","[-15.0, -14.0, -14.0, -14.5, -14.0, -15.5, -14.0, -15.5, -13.5, -18.5]","[-13.5, -14.0, -13.5, -14.0, -14.0, -15.5, -16.0, -336.0, -13.5, -18.0]","[-44.0, -14.0, -13.5, -14.0, -14.0, -14.0, -148.5, -54.5, -14.0, -15.5]","[-13.5, -77.0, -13.5, -14.5, -14.5, -14.0, -21.5, -276.5, -18.5, -14.5]","[-13.5, -15.0, -14.5, -14.0, -13.5, -13.5, -14.5, -195.5, -73.5, -14.0]","[-13.5, -15.0, -14.0, -14.0, -17.0, -14.0, -220.0, -23.5, -13.5, -18.5]","[-15.0, -14.0, -13.5, -14.0, -18.5, -22.5, -13.5, -16.5, -15.0, -17.5]","[-13.5, -15.0, -13.5, -14.0, -13.5, -13.5, -13.5, -141.5, -14.5, -15.5]","[-16.0, -16.5, -13.5, -14.0, -13.5, -14.0, -14.5, -69.5, -14.5, -14.5]","[-15.0, -15.0, -16.5, -14.0, -14.5, -16.0, -20.5, -16.5, -13.5, -15.0]","[-14.0, -14.0, -13.5, -15.0, -13.5, -14.5, -15.5, -489.5, -15.0, -14.5]","[-15.5, -14.0, -13.5, -14.0, -13.5, -17.0, -14.5, -467.0, -13.5, -16.5]","[-13.5, -15.0, -14.0, -14.0, -92.5, -13.5, -14.5, -365.5, -14.5, -15.5]","[-13.5, -245.5, -14.0, -14.0, -14.0, -14.5, -14.0, -15.0, -17.0, -15.5]","[-14.0, -14.5, -13.5, -14.0, -14.0, -15.0, -14.0, -347.5, -199.0, -15.5]","[-15.0, -215.0, -14.0, -90.5, -13.5, -14.0, -14.0, -17.0, -14.0, -18.5]","[-16.5, -14.0, -14.0, -19.0, -13.5, -87.5, -13.5, -23.0, -14.0, -14.5]"
