,0,1,2,3,4
0,[-12.0],[-12.0],[-12.0],[-12.0],[-12.0]
1,[-16.0],[-16.0],[-16.0],[-16.0],[-16.0]
2,[-28.0],[-28.0],[-28.0],[-28.0],[-28.0]
