,0
0,"[-1000.0, -1000.0, -1000.0, -1000.0]"
1,"[-1000.0, -46.0, -1000.0, -46.0]"
2,"[-1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -46.0, -1000.0, -46.0]"
