,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-12.0, -16.0, -12.0, -12.0, -12.0, -12.0, -12.0, -13.0, -12.0, -12.0]","[-12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0]","[-13.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0]","[-12.0, -12.0, -12.0, -12.0, -13.0, -12.0, -12.0, -12.0, -13.0, -12.0]","[-12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -13.0, -12.0, -13.0]","[-12.0, -13.0, -12.0, -13.0, -13.0, -13.0, -13.0, -12.0, -12.0, -12.0]","[-13.0, -13.0, -13.0, -13.0, -12.0, -13.0, -13.0, -13.0, -13.0, -12.0]","[-12.0, -13.0, -13.0, -12.0, -12.0, -13.0, -13.0, -13.0, -13.0, -12.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -12.0, -13.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -18.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0]","[-13.0, -13.0, -13.0, -13.0, -15.0, -13.0, -13.0, -13.0, -13.0, -13.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0]","[-13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -16.0, -1000.0]","[-16.0, -16.0, -16.0, -16.0, -16.0, -96.0, -16.0, -16.0, -13.0, -16.0]","[-16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0]","[-16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0]","[-16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0]","[-16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0]"
1,"[-16.0, -16.0, -17.0, -16.0, -17.0, -17.0, -19.0, -14.0, -16.0, -17.0]","[-16.0, -16.0, -17.0, -16.0, -17.0, -16.0, -17.0, -16.0, -16.0, -17.0]","[-14.0, -16.0, -17.0, -16.0, -17.0, -16.0, -19.0, -16.0, -16.0, -17.0]","[-16.0, -16.0, -17.0, -16.0, -15.0, -16.0, -18.0, -16.0, -14.0, -17.0]","[-16.0, -16.0, -17.0, -16.0, -19.0, -16.0, -17.0, -14.0, -16.0, -15.0]","[-16.0, -14.0, -17.0, -14.0, -15.0, -14.0, -15.0, -16.0, -16.0, -20.0]","[-14.0, -14.0, -15.0, -14.0, -17.0, -14.0, -15.0, -16.0, -14.0, -18.0]","[-16.0, -14.0, -15.0, -16.0, -17.0, -14.0, -15.0, -14.0, -14.0, -17.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -16.0, -15.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -14.0, -15.0]","[-14.0, -15.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -14.0, -13.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -14.0, -15.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -14.0, -15.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -14.0, -15.0]","[-14.0, -14.0, -15.0, -14.0, -15.0, -14.0, -15.0, -14.0, -12.0, -13.0]","[-12.0, -12.0, -13.0, -12.0, -13.0, -12.0, -13.0, -12.0, -14.0, -13.0]","[-12.0, -12.0, -13.0, -12.0, -13.0, -12.0, -13.0, -12.0, -12.0, -13.0]","[-12.0, -12.0, -13.0, -12.0, -13.0, -12.0, -13.0, -12.0, -12.0, -13.0]","[-12.0, -12.0, -13.0, -12.0, -13.0, -12.0, -13.0, -12.0, -12.0, -13.0]","[-12.0, -12.0, -13.0, -12.0, -13.0, -12.0, -13.0, -12.0, -12.0, -13.0]"
2,"[-14.0, -16.0, -14.5, -14.0, -14.5, -14.5, -15.5, -13.5, -14.0, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -14.0, -14.5, -14.0, -14.0, -14.5]","[-13.5, -14.0, -14.5, -14.0, -14.5, -14.0, -15.5, -14.0, -14.0, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.0, -14.0, -15.0, -14.0, -13.5, -14.5]","[-14.0, -14.0, -14.5, -14.0, -15.5, -14.0, -14.5, -13.5, -14.0, -14.0]","[-14.0, -13.5, -14.5, -13.5, -14.0, -13.5, -14.0, -14.0, -14.0, -16.0]","[-13.5, -13.5, -14.0, -13.5, -14.5, -13.5, -14.0, -14.5, -13.5, -15.0]","[-14.0, -13.5, -14.0, -14.0, -14.5, -13.5, -14.0, -13.5, -13.5, -14.5]","[-13.5, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -14.0]","[-13.5, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -13.5, -14.0]","[-13.5, -14.0, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -13.5, -15.5]","[-13.5, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -13.5, -14.0]","[-13.5, -13.5, -14.0, -13.5, -15.0, -13.5, -14.0, -13.5, -13.5, -14.0]","[-13.5, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -13.5, -14.0]","[-13.5, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -13.5, -14.0, -506.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -54.0, -14.5, -14.0, -13.5, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -14.0, -14.5, -14.0, -14.0, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -14.0, -14.5, -14.0, -14.0, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -14.0, -14.5, -14.0, -14.0, -14.5]","[-14.0, -14.0, -14.5, -14.0, -14.5, -14.0, -14.5, -14.0, -14.0, -14.5]"
